Event number,time_start_sheath,time_end_sheath,time_start_plasmasheet,time_start_plasmasheet,smooth_turbulent,BL,dawndusk,Inbound,crossing_magnetopause,crossing_ps,comments,xgse,ygse,zgse,ygsm,zgsm,dist,mlt,l,bx_sheath_mean,bx_sheath_std,bx_ps_mean,bx_ps_std,by_gsm_sheath_mean,by_gsm_sheath_std,by_gsm_ps_mean,by_gsm_ps_std,bz_gsm_sheath_mean,bz_gsm_sheath_std,bz_gsm_ps_mean,bz_gsm_ps_std,h1_density_sheath_mean,h1_density_sheath_std,h1_density_ps_mean,h1_density_ps_std,he2_density_sheath_mean,he2_density_sheath_std,he2_density_ps_mean,he2_density_ps_std,mms_alpha_ratio_sheath_mean,mms_alpha_ratio_sheath_std,mms_alpha_ratio_ps_mean,mms_alpha_ratio_ps_std,imf_bx_1h_mean,imf_bx_1h_std,imf_bx_2h_mean,imf_bx_2h_std,imf_bx_3h_mean,imf_bx_3h_std,imf_by_gse_1h_mean,imf_by_gse_1h_std,imf_by_gse_2h_mean,imf_by_gse_2h_std,imf_by_gse_3h_mean,imf_by_gse_3h_std,imf_bz_gse_1h_mean,imf_bz_gse_1h_std,imf_bz_gse_2h_mean,imf_bz_gse_2h_std,imf_bz_gse_3h_mean,imf_bz_gse_3h_std,imf_by_gsm_1h_mean,imf_by_gsm_1h_std,imf_by_gsm_2h_mean,imf_by_gsm_2h_std,imf_by_gsm_3h_mean,imf_by_gsm_3h_std,imf_bz_gsm_1h_mean,imf_bz_gsm_1h_std,imf_bz_gsm_2h_mean,imf_bz_gsm_2h_std,imf_bz_gsm_3h_mean,imf_bz_gsm_3h_std,sw_p_1h_mean,sw_p_1h_std,sw_p_2h_mean,sw_p_2h_std,sw_p_3h_mean,sw_p_3h_std,sw_v_1h_mean,sw_v_1h_std,sw_v_2h_mean,sw_v_2h_std,sw_v_3h_mean,sw_v_3h_std,dst_1h_mean,dst_1h_std,dst_2h_mean,dst_2h_std,dst_3h_mean,dst_3h_std
11,2017-05-18/04:31:00,2017-05-18/04:51:00,2017-05-18/05:30:30,2017-05-18/05:50:30,,0,Dawnside,1,2017-05-18/05:01:00,2017-05-18/05:20:30,,-9.975542616,-17.38624946,5.105358784,-18.08056129,1.199859149,20.68472405,4.065114582,20.6767517,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,8.346647663,0.7371304042,0.4765028067,0.238122524,0.383101415,0.07986807287,0.01590690926,0.006084701035,0.04573644608,0.007635405436,0.03484769833,0.00700156281,-0.3656665981,1.318669558,1.668447971,0.7458981276,0.8983606696,0.8360127211,-0.8585000634,2.95382309,-0.2462068647,1.763588786,4.57606554,0.6363051534,-4.983332634,1.332872033,-5.158964634,0.2791760862,-3.282130957,1.002109528,0.3609998822,3.066817045,1.214310408,1.74140811,5.375408649,0.3390013576,-5.03399992,1.095658898,-5.014482021,0.4642752707,-1.644426107,1.189670205,3.269107342,0.4680104256,3.454864979,0.2563376725,3.534221649,0.1179076657,436.3035583,5.56531477,432.9162598,1.963491201,437.3577576,1.48912549,-22.73770523,4.603989601,-5.606557369,4.70559454,1.032786846,3.468752146
12,2017-05-20/09:26:30,2017-05-20/09:46:30,2017-05-20/10:11:50,2017-05-20/10:31:50,,0,Dawnside,1,2017-05-20/09:56:30,2017-05-20/10:01:50,,-16.43823914,-18.1056748,4.882336849,-18.3089987,4.053793242,24.93728893,3.153550318,24.960431,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,6.17729682,0.7373419436,0.9764431587,0.9383444961,0.9218836313,0.1704284845,0.08875750395,0.08877412141,0.1499072946,0.02698847959,0.08625756969,0.02745183474,5.976667404,1.865827203,5.265517235,2.336289406,4.082542419,2.328508377,-3.416333675,3.409106255,-3.407930613,5.216627598,-5.477965832,4.879378319,-5.348833084,3.750354767,-5.022068501,3.955349684,-5.587120056,4.312158108,-3.122000456,3.463577032,-3.048964977,5.356091976,-4.825254917,5.233323574,-5.509166241,3.725301743,-5.286897182,3.708296299,-6.106949329,3.958494663,4.906666756,1.079011798,5.257143497,0.5442565084,4.703704834,0.3158951998,645.5238037,38.4289093,606.774292,14.7618227,608.4165649,11.25796604,-29.91666603,6.977667809,-36.5,3.88609004,-22.95000076,12.98033333
13,2016-11-11/08:33:30,2016-11-11/08:53:30,2016-11-11/07:27:30,2016-11-11/07:47:30,,0,Duskside,0,2016-11-11/08:23:30,2016-11-11/07:57:30,,8.46171338,4.591366757,-0.6455577005,3.912074101,-2.488587885,9.648729801,13.98019282,14.39427739,18.75046921,8.015350342,35.52547836,3.723266602,-11.84895134,24.05614471,38.38917542,1.651794791,36.62644577,12.62805176,48.81668854,3.638848305,20.15235787,5.926696864,1.445086885,0.3464636905,1.34886052,0.6491354025,0.04892973428,0.005828854264,0.06386699497,0.01414092611,0.03482616487,0.005456319281,4.33983326,1.489295721,6.519259453,1.504738331,3.271666288,1.216543078,-5.446000099,2.98939991,-3.493148327,2.836522341,-8.135334015,1.072352767,1.501499891,1.753594756,-0.9518517256,1.545220375,-1.767499924,1.881873965,-4.375666618,3.367027521,-3.598889112,2.752640724,-8.268498421,1.364223123,3.556499958,0.8880903125,0.3948148489,1.689222932,1.035000086,1.641693473,3.06612277,0.2844205797,2.938542128,0.1661195308,3.142979383,0.2114125788,447.2774963,5.886009693,439.2687073,7.668868542,455.802124,4.447152138,-27.26666641,1.885418534,-28.46666718,0.8918967247,-27.93333244,1.191305876
14,2016-11-11/18:46:00,2016-11-11/19:06:00,2016-11-11/19:41:00,2016-11-11/20:01:00,,0,Duskside,1,2016-11-11/19:16:00,2016-11-11/19:31:00,,5.482432039,9.168853688,1.031408126,9.214559439,-0.472837207,10.73260182,16.00315926,10.91828836,25.23330498,4.979625225,-5.929415226,2.965880394,-27.60548782,5.888770103,10.55299187,6.193515301,32.96283722,10.11154842,48.02695465,6.429943562,21.17307853,2.631140794,1.868040078,0.592423845,1.265385102,0.2804668787,0.05161889233,0.03542196457,0.05927175938,0.007674296962,0.02741905529,0.006106620142,4.291818619,2.176836967,5.145246506,1.783380389,1.850655794,2.762834787,-7.897955418,1.040515423,-5.588852882,2.683241129,-5.68377018,1.571068764,1.363181829,2.132841587,3.934754133,3.654565811,-1.158197403,3.685081959,-7.534544468,0.9300999045,-4.56704855,3.273678303,-5.82131052,1.953043222,2.775454521,2.127981424,5.032131195,3.222300053,0.3886884749,3.440264702,4.096486568,0.3510794044,3.698363781,0.3634442687,3.86396265,0.5990034938,463.927002,9.875551224,459.980011,12.51452446,478.0301819,28.59611893,-8.032787323,1.949078441,-13.2295084,1.553420067,-13.91803265,3.44623065
15,2016-11-03/08:37:00,2016-11-03/08:57:00,2016-11-03/07:26:00,2016-11-03/07:46:00,,0,Duskside,0,2016-11-03/08:27:00,2016-11-03/07:56:00,,7.491428393,4.720549083,-0.808947931,3.854956503,-2.842057486,8.891539786,14.16517422,13.62349905,-7.712775707,10.46856689,53.18189621,5.148333073,0.943200469,14.46017361,39.08670425,2.713730097,-19.26379585,10.11223984,29.62731361,2.074141264,16.05320661,1.987871188,0.448293857,0.05548680608,1.428651882,0.2883172523,0.01866594411,0.003030087805,0.08874353165,0.01224873281,0.0416449095,0.004279181674,-2.863278389,0.9474558234,-1.894098163,3.02464366,0.7919671535,0.9709321856,3.885738373,0.893682301,4.13803339,1.123353362,4.423605919,1.373895884,-4.413934231,0.5454975367,-2.704262257,1.203094006,-4.743605137,1.133322716,1.550327778,0.8170515895,2.665737629,1.401933789,2.353278637,1.622528791,-5.675246239,0.6217893362,-4.150492191,0.9212915301,-6.063114166,0.5518862605,1.928102851,0.09816664457,2.070565939,0.1944361925,2.554000139,0.2306423783,402.7310181,3.235613823,403.3904419,3.394013405,405.321991,2.505362034,-45.55737686,0.8067339659,-40.9180336,1.705824733,-38.75409698,1.374235988
16,2016-11-03/14:33:00,2016-11-03/14:53:00,2016-11-03/15:17:10,2016-11-03/15:37:10,,0,Duskside,1,2016-11-03/15:03:00,2016-11-03/15:07:10,,7.249749955,9.529271119,0.1886687141,8.924059865,-3.347201738,11.97503563,15.50577562,13.58786306,-9.104870796,6.976486683,4.600495338,2.771254778,0.1291465461,6.901604176,16.69064713,3.57193017,-19.06284714,9.088859558,25.09350395,2.372398615,11.56790983,1.769072666,0.4471155888,0.06998665314,1.229414902,0.352529547,0.01406214265,0.003630342841,0.1046940491,0.01753981892,0.0313078566,0.005854314117,-5.085715294,0.5537602901,-4.82885313,0.2700684667,-5.468165874,0.1976857036,1.690357208,0.4567671418,2.440655708,0.3532792628,2.460333824,0.1278633624,-2.661964417,0.402430892,-2.464426041,0.3944090009,-2.2378335,0.4178885221,0.5221428871,0.3811977208,1.176721454,0.3320678473,1.20233345,0.2368749231,-3.108214617,0.4865205288,-3.263934851,0.3978620768,-3.098833561,0.3836006224,1.457058907,0.07316541672,1.490000129,0.06152158603,1.471428514,0.07424622774,389.2195435,1.422535181,390.5907593,3.005545378,393.9857788,2.587470055,-31.93442535,0.7717692256,-33.45901489,1.444226861,-35.9180336,0.7370001078
17,2016-10-27/10:12:20,2016-10-27/10:32:20,2016-10-27/09:06:00,2016-10-27/09:26:00,,1,Duskside,0,2016-10-27/10:02:20,2016-10-27/09:36:00,,7.092867015,6.368070355,-0.7553526788,5.173210828,-3.789560349,9.561989731,14.73372925,14.04782634,-5.866698742,7.684055805,37.22026825,4.90473032,14.7056694,21.92600822,47.87739944,2.558704615,-7.258692265,10.63508224,17.90303802,3.364812613,9.635568857,1.904382287,0.2856410006,0.06316863136,0.4218661669,0.121491645,0.007853273636,0.003218377149,0.04362887444,0.00887207816,0.02681942125,0.006950029312,-2.291016817,1.641958237,-3.020999432,1.005605817,-2.233166456,1.642007351,3.156949043,2.210198164,2.929166079,1.496927142,3.550332785,1.259491205,-1.306610107,1.612019062,0.8639999628,1.947017908,-0.5249999762,1.430968046,2.109491825,2.256412745,2.977499723,1.142592311,2.91716671,1.202124,-2.687627316,1.548562527,-0.6346666813,2.187720299,-2.069666862,1.507183909,2.009795904,0.1911204755,1.843207598,0.1558570862,1.894374847,0.1820323318,602.9714966,15.23653793,600.1433716,10.18738651,610.4750366,15.02010536,-44.70000076,2.345569849,-47.83333206,1.439946771,-38.59999847,3.370862007
18,2016-10-27/17:10:00,2016-10-27/17:30:00,2016-10-27/18:25:00,2016-10-27/18:45:00,,1,Duskside,1,2016-10-27/17:40:00,2016-10-27/18:15:00,,5.243108543,10.66054817,0.3929998794,10.31296124,-2.728473337,11.88662792,16.26190172,12.7264715,0.1157137901,7.72812748,2.892212629,1.07283318,-4.904172421,12.7873106,20.22824097,3.106168747,-16.91324997,10.75129604,32.46933365,2.169311762,10.43008258,1.702421737,0.2560352163,0.03046625124,0.3155647941,0.108530725,0.004942662074,0.001665172493,0.02972003955,0.006350689918,0.0192643935,0.005973446654,-4.042833328,1.87559104,-2.876393795,1.249078393,-1.428474665,1.297275424,2.163999319,0.9714818597,2.574589729,1.807726502,3.365423918,0.7604883909,-0.4301665723,1.806704521,-2.617212772,1.254914403,-3.368982792,1.048471451,1.908500195,1.157833815,1.477868676,1.79441011,1.78491509,0.7582110167,-1.076500177,1.7137537,-3.362622261,1.271108389,-4.420509338,1.026926041,1.703999639,0.2756365836,1.968912482,0.2276471853,2.090526342,0.2711232901,552.6380005,17.03993988,570.0326538,13.04871655,580.7498779,15.31105423,-52.13114929,2.759682417,-49.8360672,2.684401989,-44.81967163,3.052366257
19,2016-10-10/16:10:00,2016-10-10/16:30:00,2016-10-10/14:19:20,2016-10-10/14:39:20,,1,Duskside,0,2016-10-10/16:00:00,2016-10-10/14:49:20,,3.953025103,10.96537889,-0.3331686217,9.881439372,-4.7652588,11.66091519,16.47952505,13.78301665,-1.542355299,4.626699448,2.903358936,2.679641724,-17.36020088,5.784125805,22.74533272,6.371207714,-21.57048607,7.610267162,13.36558437,3.585861921,24.20223185,2.165710583,1.091197806,0.4022698329,0.8377806415,0.2243357916,0.02642680697,0.01116055723,0.03432506147,0.007741725047,0.02419002278,3.78E-03,-1.738360286,0.5000938773,-1.53918004,1.127437234,-2.672500372,0.8481937051,5.969015598,1.211458802,5.464426041,0.7946227193,4.588000298,0.8017455339,-1.43016386,3.057719946,-0.9645901918,1.7664783,-0.6335000396,1.75585103,4.81983614,1.818602562,4.396557331,1.421038151,3.683000326,1.084231019,-3.855409145,2.663176537,-3.376065731,1.340495229,-2.816000462,1.585340977,2.986166477,0.4420564473,2.843962669,0.2347530574,2.444339752,0.09822479635,356.2466736,1.682157636,351.9433289,4.167248726,341.1717224,4.095983982,-10.90163898,1.609398603,-12.39344215,1.332649946,-16.67213058,1.011950374
20,2016-09-30/17:22:00,2016-09-30/17:42:00,2016-09-30/16:00:00,2016-09-30/16:20:00,,0,Duskside,0,2016-09-30/17:12:00,2016-09-30/16:30:00,,2.146438229,11.45959282,-0.414881212,10.47501937,-4.665657841,11.66625866,17.05418899,13.5856461,-20.17083168,6.060419559,1.001461983,0.7719800472,30.93002892,5.848852158,28.36709595,1.887636304,7.699164391,7.901963234,15.57569313,1.722250223,4.197142817,1.346973755,0.2394558335,0.02066498764,0.1730752107,0.07860749516,0.01014138831,0.001707774547,0.04006759766,0.007690374723,0.04232871461,0.006000264651,-0.317704916,1.298203111,-3.236065388,1.830705881,-3.265960932,0.8110976815,4.007541656,1.063338518,1.473278642,1.759470344,2.797884703,0.9753217697,-2.088032961,0.8254408836,0.3983604908,1.358778,-0.265769273,1.270380974,2.864918232,1.247999191,1.508852363,1.100893736,2.343268871,1.398369908,-3.496885777,0.4917470515,-0.2718033195,1.925354123,-1.539807677,0.8050708771,1.87775898,0.1546364874,1.717118979,0.2949579358,1.767499804,0.2426406145,623.8862305,14.61328983,608.8256226,20.15607452,615.177124,9.138628006,-28.95081902,3.018975258,-28.37704849,1.356022954,-25.47541046,0.6482426524
